,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
1228,50,3,5,24,31,Maryland,"Montgomery County, Maryland",4,8492,7,38,9,3,8,10.9,1,17,1043863,4.199068686,0.069180116,0.01254954,99435,89.7,4.6,33.6,57.9,2440,1627,26.1,25.5,-0.022988506,129.7,3.3,40.75204918,61.11555009,11.70909031,474,100,9.4,907,177,0.999520091,0.841696407,0.217515358,0.015323975,0.299857636,1.098734271,1.378202283,0.341289585,0.996807535,2.824002708,0.426440267,-0.111066331,2.93437858,1.152876287,1.379512108,2.147791946,1.308419537,0.764970464,-0.743303766,1.588552704,0.797549593,1.068929925,1.176954498,0.097395858,0.931034731
1758,50,2,4,31,153,Nebraska,"Sarpy County, Nebraska",3.8,8822,11,39,8,4,6,10.7,0,10,179023,8.696127312,0.120567598,0.014528859,70543,93.4,4.8,37.9,36.7,1474,868,30.2,28.4,-0.059602649,134.1,3,47.85820896,81.27073733,7.99618684,9,95,8.1,123,64,0.392396389,1.667509269,1.118956567,0.579178741,1.193305497,1.293147485,1.33207792,1.152575101,1.187442488,0.681347894,1.683262801,2.039571512,0.970914589,-0.402161072,0.949473104,0.797059967,-0.56261468,1.282820449,-0.618067951,-0.628395541,0.733318151,0.696684799,1.628911249,1.5998648,0.930303264
2609,50,3,7,48,85,Texas,"Collin County, Texas",4,11176,16,31,9,8,9,10.8,0,14,939585,20.54700675,0.191246556,0.01175519,84735,87.1,5.7,40.3,49.8,1884,1119,33.2,32.1,-0.03313253,156,3.5,44.97611465,75.72386059,7.581770109,1,95,7.4,553,154,0.831315214,2.128428075,-0.144255445,2.065077725,2.422164382,2.260795075,1.124518287,-0.22880294,0.869717567,2.005346859,1.173524604,1.447697922,0.751762022,-0.428914402,0.949473104,0.069742747,0.463590312,0.870373558,-0.680685859,-0.628395541,1.247169691,-0.792295705,0.950976123,0.741311119,0.873827393
1247,50,1,1,25,17,Massachusetts,"Middlesex County, Massachusetts",4,9121,9,29,10,1,7,9.6,0,17,1589774,5.084997125,0.054777261,0.011065724,85118,96.7,5.6,29.4,52,2377,1341,23.6,23.3,-0.012711864,127.4,3,35.80900294,63.47352722,9.332193095,6,97,8.8,1478,207,1.169923996,0.035088496,-0.458258931,0.126404353,0.049442564,0.997109181,1.147580468,1.876154075,1.187442488,2.227697831,-0.447805752,0.140539114,1.677423712,-0.412193571,1.121488705,1.524377186,2.671124305,0.627488167,0.070729036,-0.628395541,1.375632577,1.813420176,1.402932873,0.097395858,0.870484213
2939,50,3,5,51,153,Virginia,"Prince William County, Virginia",3.6,8387,7,39,9,7,11,9.7,1,15,455210,7.43929624,0.12014469,0.014922783,98657,87.2,4.9,42.3,38.8,2215,1547,32.7,32.8,0.003058104,149.7,3.6,44.54040632,63.77310924,11.76241255,16,91,9.2,271,163,1.431416429,2.51252708,1.298361366,0.421593473,1.185952612,1.9824307,1.309015738,-0.206876305,0.806172583,0.893592003,1.096463566,0.172505695,2.962576539,-0.378751907,0.6054419,1.939987026,-0.209409241,0.829128869,0.008111128,1.588552704,0.733318151,-0.420050579,0.499019372,0.526672699,0.869530387
1419,50,2,4,27,163,Minnesota,"Washington County, Minnesota",4,7802,7,31,8,3,8,10.9,0,12,253117,3.703733066,0.059102397,0.01112529,83706,95.4,4,35.5,41.6,1730,1144,28.8,26.6,-0.076388889,139.2,3.4,48.3849711,73.16958042,10.72871873,4,95,8.9,200,77,0.114052467,1.206590462,-0.431130789,-0.046782698,0.124641491,1.518490075,1.516575371,1.591107812,0.933262551,1.176584148,1.776427963,1.17514617,2.415936797,-0.418881903,0.949473104,1.628279646,-0.378852391,1.223244787,-0.743303766,-0.628395541,1.247169691,1.068929925,1.176954498,1.170587959,0.869326234
1249,50,1,1,25,21,Massachusetts,"Norfolk County, Massachusetts",4,9519,9,28,10,1,7,9.5,0,16,697181,3.896914738,0.035767026,0.010439183,88262,97.8,4.3,29.8,50.6,2360,1332,25.2,24.1,-0.043650794,131.9,3.2,37.39915254,66.26276276,9.272591844,321,96,8.8,682,193,0.656904813,0.111908297,-0.743604485,-0.022560998,-0.281078667,1.195940878,1.447388827,2.117347066,1.060352519,2.086201758,-0.166565826,0.438161529,1.645905276,0.641218833,1.035480904,1.524377186,0.771451809,0.691646572,0.133346944,-0.628395541,1.439864019,1.813420176,1.402932873,0.312034279,0.839655417
1392,50,2,4,27,109,Minnesota,"Olmsted County, Minnesota",3.8,6668,9,33,8,3,8,10.2,1,11,153102,1.292965885,0.059331474,0.014265,68023,94.2,5.3,31.5,41.3,1415,827,25.2,23,-0.087301587,110.4,3,48.07279152,82.25272068,10.20202172,29,96,8.7,185,163,-0.06689831,0.438392452,0.998787269,-0.349051954,0.128624336,0.245967217,1.216767012,1.327988185,1.187442488,1.146263561,1.721214691,2.144353002,2.13740798,-0.335277744,1.035480904,1.420474726,-0.414650239,0.829128869,-0.304978411,1.588552704,1.118706806,1.068929925,1.176954498,1.385226379,0.837271898
2827,50,4,8,49,11,Utah,"Davis County, Utah",3.4,8638,12,40,10,7,11,8.7,0,11,342281,4.431776649,0.111381332,0.017123358,71112,91.4,6.2,43.9,34.8,1482,913,38.6,36,-0.067357513,114.8,3.1,47.98380567,77.88828039,8.232242022,8,95,8,79,106,0.263807779,2.819806284,2.300569191,0.044501601,1.033588589,0.440380431,1.009207379,0.714042389,1.123897504,0.48931751,1.705476314,1.678650038,1.095745696,-0.405505238,0.949473104,0.693157507,-0.667621702,1.090345233,0.634290207,-0.628395541,0.669086708,-0.420050579,0.499019372,1.385226379,0.832452682
2645,50,3,7,48,157,Texas,"Fort Bend County, Texas",4,10706,15,33,9,9,12,11.4,0,15,741237,28.152993,0.255412553,0.013315579,89152,85.1,6.5,43.2,43.7,1843,1211,36.7,34.3,-0.065395095,170.9,5,48.3733044,73.61849711,8.327378667,4,94,7,325,262,0.29634795,2.685371632,0.566392483,3.018739207,3.537785746,2.919148915,0.940020835,-0.667335652,-0.083457197,1.388828257,1.774364546,1.223047349,1.14605602,-0.418881903,0.863465303,-0.345867093,-0.080536986,0.375437289,-1.056393306,-0.628395541,1.118706806,-1.16454083,0.273040997,0.526672699,0.818974481
