,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
1250,50,1,1,25,23,Massachusetts,"Plymouth County, Massachusetts",3.4,9742,10,25,12,1,11,8.7,0,17,513565,4.09422592,0.03544462,0.010156455,75459,96.7,5.9,30.8,34.4,2114,1132,25,22.3,-0.108,105.8,3.9,35.6948912,66.65989399,7.746034288,1157,86,8.3,412,404
2868,50,3,5,51,3,Virginia,"Albemarle County, Virginia",4,7685,10,31,10,6,7,8.6,0,14,106878,8.766231941,0.076964933,0.009861711,68449,91.9,6.8,27.5,51.7,1708,1117,21.3,22,0.03286385,107.6,3.5,40.07552693,61.27931961,8.906761951,10,74,8.6,111,113
856,50,2,4,19,103,Iowa,"Johnson County, Iowa",3.8,7036,14,33,10,4,4,9.7,0,19,146547,10.0502142,0.116182889,0.012282749,55700,92.6,6.8,26,51.3,1443,870,19.2,18.7,-0.026041667,105.2,2.6,38.6001386,64.02298851,7.915946012,9,90,7.6,132,267
59,50,3,6,1,117,Alabama,"Shelby County, Alabama",4,9866,11,48,11,4,8,11.4,0,11,210622,6.618589309,0.074311538,0.011318856,70187,91.1,5.6,32.3,40.8,1435,944,28.5,25.9,-0.09122807,158.1,4.4,48.91080139,74.35063559,7.114229879,6,73,8.4,222,180
630,50,2,3,17,43,Illinois,"DuPage County, Illinois",4,9720,8,32,9,4,8,12.2,1,16,929368,-2.663679195,0.012224662,0.011386232,79658,91.7,5.2,32,46.7,2046,1143,28.2,25.9,-0.081560284,137,4.8,38.93352884,69.6920385,8.195452984,5,99,8.9,837,86
2176,50,3,7,40,17,Oklahoma,"Canadian County, Oklahoma",3.6,9787,12,55,11,8,11,9.8,0,10,136532,19.78009466,0.173640959,0.013220344,64505,89.6,5.2,35.7,25.5,1327,886,27,26.2,-0.02962963,130.2,4,48.60964582,72.80474041,6.590912806,30,81,7.8,94,444
1339,50,2,4,27,3,Minnesota,"Anoka County, Minnesota",3.4,8543,8,32,9,3,10,10.9,0,13,345957,0.553497808,0.043705313,0.012085317,70873,93.7,5.5,32.7,27.8,1538,971,26.9,24.1,-0.104089219,115.5,3.8,46.08127438,72.98970134,8.296362023,31,95,8.5,240,133
1223,50,3,5,24,21,Maryland,"Frederick County, Maryland",4,9491,7,34,10,3,9,11,0,14,247591,4.603136079,0.057168598,0.011369557,83700,93.2,4.7,33.1,39.1,1978,1285,28.4,25,-0.11971831,110.5,3.7,42.31547017,65.13618677,8.819001841,16,94,9.2,262,254
2013,50,3,5,37,179,North Carolina,"Union County, North Carolina",4,8868,11,37,10,6,12,10.4,1,13,226606,13.55936294,0.120890753,0.010630786,65903,88.1,7.9,41.2,33.4,1447,868,33.9,32.3,-0.04719764,149.7,4.3,45.54457498,75.92511521,7.431534886,18,68,8.3,171,211
280,50,4,8,8,59,Colorado,"Jefferson County, Colorado",3.8,8717,12,30,9,4,11,8.2,0,15,571837,7.795911816,0.067027295,0.010459274,70164,90.6,5.5,27.1,41.6,1670,1052,21.5,19.3,-0.102325581,111.4,3,42.01437126,66.69581749,8.04899789,1,100,8.1,430,223
